cluster_name,overall_improvement,avg_similarity,entries_count,selected,CPU_usage_improvement,RAM_usage_improvement,execution_time_ms_improvement
flatten_deep_list,-6.7785831442686515,52.58166666666667,1,True,96.0222752585521,61.419753086419746,-177.7777777777778
robot_name,68.22074094489865,69.38122222222222,14,True,93.28489626505053,68.14077331948131,43.23655325016413
resistor_color_enum,92.1724361289118,61.37666666666667,1,True,97.68196569309225,93.40410726240769,85.43123543123544
typoglycemia_generator,0.0,32.84166666666667,1,False,0.0,0.0,0.0
pythagorean_triplet,92.96205499682283,82.08057692307692,10,False,95.8046970478732,95.93528498960926,87.14618295298602
count_ip_addresses,4.464397259948687,67.03583333333334,1,True,95.21351623653415,67.21548821548821,-149.0358126721763
climbing_staircase,4.311514659307922,70.33083333333333,1,True,95.43679070994989,69.60886437908498,-152.11111111111111
isbn_verifier,82.53501939595311,55.960277777777776,14,True,93.28597563439371,91.8025701618155,62.51651239165013
a0074search2dmatrix,-24.959093709093725,72.00416666666665,1,True,95.99358974358974,62.46246246246245,-233.33333333333337
twelve_days,79.80872954015418,72.36395833333333,9,True,94.18674521561286,90.51298955142217,54.72645385342752
valid_parentheses,-7.340308214683053,76.87083333333334,2,False,93.98315282791822,61.77370030581043,-177.7777777777778
word_break,-25.18868109464442,67.9775,1,True,95.99358974358974,61.773700305810394,-233.33333333333337
rotate_array,-15.0293401163379,74.23083333333334,1,True,96.16858237547895,61.773700305810394,-203.03030303030303
high_scores,67.15306933233906,66.82300000000001,5,True,93.85742380708483,84.632356001017,22.96942818891536
reverse_string,90.3960819773709,49.24987745098039,25,True,93.82381998784753,90.96941250209875,86.39501344216643
paasio,96.49327776590927,71.41416666666667,4,True,92.94517662817022,97.5812375499238,98.9534191196338
count_divisibles_in_range,-25.13329293441753,63.935,1,True,96.15975422427037,61.773700305810394,-233.33333333333337
proverb,92.2945715691286,59.951858974358984,10,True,94.09332348921498,95.18764581276011,87.60274540541072
scrabble_score,74.31594137492924,65.2946590909091,20,True,91.13970581088965,69.96881425683583,61.83930405706227
octal,92.9498730093781,76.4875,4,False,95.08779293993145,94.92434057811361,88.8374855100892
summary_ranges,4.327570910612072,73.42999999999999,1,True,95.64836003051103,69.6676860346585,-152.33333333333331
longest_common_subsequence,-25.215728901475085,71.96833333333335,1,True,96.12403100775192,61.56211562115619,-233.33333333333337
animal_magic,97.56934978874938,78.26958333333333,2,False,96.33697864337789,97.53598316126909,98.83508756160116
random_sample,-24.95488506388648,71.78833333333334,1,True,96.14197530864199,62.32670283303195,-233.33333333333337
longest_palindromic_substring,11.670875003185833,67.00833333333334,1,True,95.36131486009238,69.49979499794996,-129.84848484848484
say,81.44143051501634,63.86322916666666,8,True,92.39386239823673,57.314626555736425,94.61580259107585
luhn_validator,92.54146110829208,70.09291666666667,2,True,95.53780815144455,93.3769090679322,88.70966610549947
longest_common_prefix,-25.165625995177663,52.63583333333333,1,True,96.13302397525136,61.703431372549026,-233.33333333333337
a0139wordbreak,23.40189162705474,67.325,1,True,94.9885746929449,70.12735659847571,-94.9102564102564
jump_game,-15.18111213006901,72.31166666666667,1,True,95.85406301824212,61.63290362185388,-203.03030303030303
title_case,0.0,32.2425,1,False,0.0,0.0,0.0
a0091decodeways,-25.171635281929422,68.12083333333334,1,True,96.11499611499609,61.703431372549026,-233.33333333333337
clock,73.03436660527363,74.11406862745098,16,True,91.50462679045965,63.64708846963338,63.951384555727884
a0120triangle,-14.93960884490655,71.06083333333335,1,True,95.88477366255144,62.32670283303195,-203.03030303030303
meetup,76.66578250862426,76.55868055555555,12,False,93.76172793405334,38.72912981978563,97.50648977203382
savings_account,98.13217909996598,66.40333333333332,1,True,98.11888638073741,97.49419593132596,98.78345498783456
connect,86.27375273468147,70.9765625,6,True,89.31279434623904,91.48028685116633,78.02817700663904
resistor_color_trio,96.6167937405076,71.00111111111111,6,True,97.48467365766061,97.13947157403521,95.22623598982699
scramblies.test.js,0.0,100.0,1,False,0.0,0.0,0.0
shuffle_array,0.5404823396771595,64.67333333333333,1,True,95.63699825479931,62.39470517448854,-156.41025641025638
a0075sortcolors,-14.906855058691974,78.55749999999999,1,False,95.91503267973856,62.39470517448854,-203.03030303030303
elons_toy_car,92.510103042432,83.2,1,False,97.76286353467562,93.43424892732041,86.33319666529998
a0143reorderlist,4.3445261689242045,68.12416666666667,1,True,95.5453384418902,69.82157339821573,-152.33333333333331
palindrome_products,97.06539737298078,71.18545454545455,9,True,94.72549289519783,97.6011872152247,98.8695120085198
hamming,79.69093965236368,78.87273809523809,21,False,93.15869675811993,75.57878731989004,70.33533487908106
a0089graycode,-6.486017409463699,73.26333333333334,1,True,95.92502037489815,62.39470517448854,-177.7777777777778
hexadecimal,61.046722578527444,68.4236111111111,9,True,90.91142841474228,21.114145687183665,71.1145936336564
a0134gasstation,-6.342422600774502,71.395,1,True,96.28804751299184,62.46246246246245,-177.7777777777778
merge_intervals,-15.049833875724318,60.968333333333334,1,True,96.17737003058106,61.703431372549026,-203.03030303030303
find_missing_number_in_second_array,4.224102848686651,68.63083333333334,1,True,95.4533542976939,69.60784313725492,-152.38888888888889
permutation_in_string,-25.235613322629916,52.71083333333334,1,True,95.99358974358974,61.63290362185388,-233.33333333333337
spiral_matrix_builder,92.1757661468057,45.817499999999995,1,True,97.63257575757575,93.39378024409983,85.50094243874149
pascals_triangle,86.49215738986165,76.69864583333333,20,False,92.01808633232177,87.77894013967172,79.67944569759145
parsing_log_files,97.59526656988241,63.25083333333333,2,True,96.41958330256709,97.53133179791418,98.83488460916597
